"datatype","representation","granularity","index","domain0","domain1","max_error"
"temperature","linear","week",1,26,48,22
"temperature","linear","week",2,36,60,24
"temperature","linear","week",3,36,58,22
"temperature","linear","week",4,30,65,35
"temperature","linear","week",5,35,70,35
"temperature","linear","week",6,36,64,28
"temperature","linear","week",7,35,80,45
"temperature","linear","week",8,36,64,28
"temperature","linear","week",9,32,58,26
"temperature","linear","week",10,30,65,35
"temperature","linear","week",11,35,70,35
"temperature","linear","week",12,38,66,28
"temperature","linear","week",13,40,80,40
"temperature","linear","week",14,40,70,30
"temperature","linear","week",15,40,70,30
"temperature","linear","week",16,35,75,40
"temperature","linear","week",17,40,80,40
"temperature","linear","week",18,40,80,40
"temperature","linear","week",19,45,85,40
"temperature","linear","week",20,46,72,26
"temperature","linear","week",21,45,85,40
"temperature","linear","week",22,45,90,45
"temperature","linear","week",23,50,90,40
"temperature","linear","week",24,50,95,45
"temperature","linear","week",25,50,90,40
"temperature","linear","week",26,50,95,45
"temperature","linear","week",27,50,100,50
"temperature","linear","week",28,50,95,45
"temperature","linear","week",29,55,95,40
"temperature","linear","week",30,55,105,50
"temperature","linear","week",31,55,100,45
"temperature","linear","week",32,55,95,40
"temperature","linear","week",33,55,95,40
"temperature","linear","week",34,55,95,40
"temperature","linear","week",35,55,95,40
"temperature","linear","week",36,48,78,30
"temperature","linear","week",37,50,85,35
"temperature","linear","week",38,50,76,26
"temperature","linear","week",39,45,80,35
"temperature","linear","week",40,48,76,28
"temperature","linear","week",41,46,76,30
"temperature","linear","week",42,46,74,28
"temperature","linear","week",43,44,70,26
"temperature","linear","week",44,42,70,28
"temperature","linear","week",45,36,66,30
"temperature","linear","week",46,38,64,26
"temperature","linear","week",47,34,64,30
"temperature","linear","week",48,26,56,30
"temperature","linear","week",49,25,60,35
"temperature","linear","week",50,30,70,40
"temperature","linear","week",51,32,52,20
"temperature","linear","week",52,34,50,16
"temperature","linear","month",0,25,70,45
"temperature","linear","month",1,30,80,50
"temperature","linear","month",2,30,80,50
"temperature","linear","month",3,35,80,45
"temperature","linear","month",4,40,90,50
"temperature","linear","month",5,50,100,50
"temperature","linear","month",6,50,105,55
"temperature","linear","month",7,55,95,40
"temperature","linear","month",8,45,90,45
"temperature","linear","month",9,40,80,40
"temperature","linear","month",10,25,70,45
"temperature","linear","month",11,25,70,45
"temperature","linear","year",0,20,110,90
"temperature","radial","week",1,20,48,28
"temperature","radial","week",2,25,60,35
"temperature","radial","week",3,30,58,28
"temperature","radial","week",4,20,65,45
"temperature","radial","week",5,25,70,45
"temperature","radial","week",6,30,65,35
"temperature","radial","week",7,25,80,55
"temperature","radial","week",8,25,65,40
"temperature","radial","week",9,25,60,35
"temperature","radial","week",10,20,65,45
"temperature","radial","week",11,25,70,45
"temperature","radial","week",12,30,70,40
"temperature","radial","week",13,30,80,50
"temperature","radial","week",14,30,70,40
"temperature","radial","week",15,30,70,40
"temperature","radial","week",16,30,75,45
"temperature","radial","week",17,30,80,50
"temperature","radial","week",18,30,80,50
"temperature","radial","week",19,30,85,55
"temperature","radial","week",20,35,75,40
"temperature","radial","week",21,35,85,50
"temperature","radial","week",22,35,90,55
"temperature","radial","week",23,35,90,55
"temperature","radial","week",24,35,95,60
"temperature","radial","week",25,40,90,50
"temperature","radial","week",26,40,95,55
"temperature","radial","week",27,40,100,60
"temperature","radial","week",28,40,95,55
"temperature","radial","week",29,40,95,55
"temperature","radial","week",30,40,105,65
"temperature","radial","week",31,40,100,60
"temperature","radial","week",32,45,95,50
"temperature","radial","week",33,45,95,50
"temperature","radial","week",34,45,95,50
"temperature","radial","week",35,45,95,50
"temperature","radial","week",36,35,80,45
"temperature","radial","week",37,40,85,45
"temperature","radial","week",38,40,80,40
"temperature","radial","week",39,35,80,45
"temperature","radial","week",40,40,80,40
"temperature","radial","week",41,35,80,45
"temperature","radial","week",42,35,75,40
"temperature","radial","week",43,35,70,35
"temperature","radial","week",44,35,70,35
"temperature","radial","week",45,25,70,45
"temperature","radial","week",46,30,65,35
"temperature","radial","week",47,25,65,40
"temperature","radial","week",48,15,55,40
"temperature","radial","week",49,15,60,45
"temperature","radial","week",50,25,70,45
"temperature","radial","week",51,26,52,26
"temperature","radial","week",52,30,50,20
"temperature","radial","month",0,15,70,55
"temperature","radial","month",1,20,80,60
"temperature","radial","month",2,20,80,60
"temperature","radial","month",3,25,80,55
"temperature","radial","month",4,30,90,60
"temperature","radial","month",5,35,100,65
"temperature","radial","month",6,40,105,65
"temperature","radial","month",7,40,95,55
"temperature","radial","month",8,35,90,55
"temperature","radial","month",9,30,80,50
"temperature","radial","month",10,10,70,60
"temperature","radial","month",11,15,70,55
"temperature","radial","year",0,0,110,110
"sleep","linear","week",1,6,24,18
"sleep","linear","week",2,6,24,18
"sleep","linear","week",3,6,24,18
"sleep","linear","week",4,6,24,18
"sleep","linear","week",5,6,24,18
"sleep","linear","week",6,6,24,18
"sleep","linear","week",7,6,24,18
"sleep","linear","week",8,6,24,18
"sleep","linear","week",9,6,24,18
"sleep","linear","week",10,6,24,18
"sleep","linear","week",11,6,24,18
"sleep","linear","week",12,6,24,18
"sleep","linear","week",13,6,24,18
"sleep","linear","week",14,6,24,18
"sleep","linear","week",15,6,24,18
"sleep","linear","week",16,6,24,18
"sleep","linear","week",17,6,24,18
"sleep","linear","week",18,6,24,18
"sleep","linear","week",19,6,24,18
"sleep","linear","week",20,6,24,18
"sleep","linear","week",21,6,24,18
"sleep","linear","week",22,6,24,18
"sleep","linear","week",23,6,24,18
"sleep","linear","week",24,6,24,18
"sleep","linear","week",25,6,24,18
"sleep","linear","week",26,6,24,18
"sleep","linear","week",27,6,24,18
"sleep","linear","week",28,6,24,18
"sleep","linear","week",29,6,24,18
"sleep","linear","week",30,6,24,18
"sleep","linear","week",31,6,24,18
"sleep","linear","week",32,6,24,18
"sleep","linear","week",33,6,24,18
"sleep","linear","week",34,6,24,18
"sleep","linear","week",35,6,24,18
"sleep","linear","week",36,6,24,18
"sleep","linear","week",37,6,24,18
"sleep","linear","week",38,6,24,18
"sleep","linear","week",39,6,24,18
"sleep","linear","week",40,6,24,18
"sleep","linear","week",41,6,24,18
"sleep","linear","week",42,6,24,18
"sleep","linear","week",43,6,24,18
"sleep","linear","week",44,6,24,18
"sleep","linear","week",45,6,24,18
"sleep","linear","week",46,6,24,18
"sleep","linear","week",47,6,24,18
"sleep","linear","week",48,6,24,18
"sleep","linear","week",49,6,24,18
"sleep","linear","week",50,6,24,18
"sleep","linear","week",51,6,24,18
"sleep","linear","week",52,6,24,18
"sleep","linear","month",0,6,24,18
"sleep","linear","month",1,6,24,18
"sleep","linear","month",2,6,24,18
"sleep","linear","month",3,6,24,18
"sleep","linear","month",4,6,24,18
"sleep","linear","month",5,6,24,18
"sleep","linear","month",6,6,24,18
"sleep","linear","month",7,6,24,18
"sleep","linear","month",8,6,24,18
"sleep","linear","month",9,6,24,18
"sleep","linear","month",10,6,24,18
"sleep","linear","month",11,6,24,18
"sleep","linear","year",0,6,24,18
"sleep","radial","week",1,2,26,24
"sleep","radial","week",2,2,26,24
"sleep","radial","week",3,2,26,24
"sleep","radial","week",4,2,26,24
"sleep","radial","week",5,2,26,24
"sleep","radial","week",6,2,26,24
"sleep","radial","week",7,2,26,24
"sleep","radial","week",8,2,26,24
"sleep","radial","week",9,2,26,24
"sleep","radial","week",10,2,26,24
"sleep","radial","week",11,2,26,24
"sleep","radial","week",12,2,26,24
"sleep","radial","week",13,2,26,24
"sleep","radial","week",14,2,26,24
"sleep","radial","week",15,2,26,24
"sleep","radial","week",16,2,26,24
"sleep","radial","week",17,2,26,24
"sleep","radial","week",18,2,26,24
"sleep","radial","week",19,2,26,24
"sleep","radial","week",20,2,26,24
"sleep","radial","week",21,2,26,24
"sleep","radial","week",22,2,26,24
"sleep","radial","week",23,2,26,24
"sleep","radial","week",24,2,26,24
"sleep","radial","week",25,2,26,24
"sleep","radial","week",26,2,26,24
"sleep","radial","week",27,2,26,24
"sleep","radial","week",28,2,26,24
"sleep","radial","week",29,2,26,24
"sleep","radial","week",30,2,26,24
"sleep","radial","week",31,2,26,24
