"datatype","representation","granularity","index","domain0","domain1","max_error"
"sleep","radial","week",32,2,26,24
"sleep","radial","week",33,2,26,24
"sleep","radial","week",34,2,26,24
"sleep","radial","week",35,2,26,24
"sleep","radial","week",36,2,26,24
"sleep","radial","week",37,2,26,24
"sleep","radial","week",38,2,26,24
"sleep","radial","week",39,2,26,24
"sleep","radial","week",40,2,26,24
"sleep","radial","week",41,2,26,24
"sleep","radial","week",42,2,26,24
"sleep","radial","week",43,2,26,24
"sleep","radial","week",44,2,26,24
"sleep","radial","week",45,2,26,24
"sleep","radial","week",46,2,26,24
"sleep","radial","week",47,2,26,24
"sleep","radial","week",48,2,26,24
"sleep","radial","week",49,2,26,24
"sleep","radial","week",50,2,26,24
"sleep","radial","week",51,2,26,24
"sleep","radial","week",52,2,26,24
"sleep","radial","month",0,2,26,24
"sleep","radial","month",1,2,26,24
"sleep","radial","month",2,2,26,24
"sleep","radial","month",3,2,26,24
"sleep","radial","month",4,2,26,24
"sleep","radial","month",5,2,26,24
"sleep","radial","month",6,2,26,24
"sleep","radial","month",7,2,26,24
"sleep","radial","month",8,2,26,24
"sleep","radial","month",9,2,26,24
"sleep","radial","month",10,2,26,24
"sleep","radial","month",11,2,26,24
"sleep","radial","year",0,2,26,24
